Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	to the left of the rocks	82	24	1	M	59, 82
3	1	5	to the left of the	146	88	1	M	59, 82, 146
3	3	5	to the right of the	147	130	2	f	18, 116, 147
2	2	5	the top of the page	127	86	1	f	42, 127
2	2	5	you want me to go	106	40	1	M	67, 106
4	1	4	the left of the	107	88	1	M	59, 82, 107, 146
4	1	4	to the left of	82	108	2	M	39, 59, 82, 146
3	1	4	the top of the	113	86	1	f	42, 113, 127
3	1	4	top of the page	127	86	2	f	42, 52, 127
2	2	4	and to the left	134	96	1	M	39, 134
2	2	4	the other side of	132	46	1	M	87, 132
8	3	3	to the left	94	115	2	M	39, 59, 82, 94, 119, 134, 146, 153
7	7	3	i've got a	8	118	1	M	5, 8, 76, 94, 100, 116, 122
5	2	3	of the page	24	105	1	M	23, 24, 42, 52, 127
5	2	3	to the right	127	142	3	f	6, 18, 116, 127, 147
4	4	3	edge of the	24	130	1	M	13, 24, 85, 142
4	4	3	have you got	147	116	3	f	32, 92, 114, 147
4	4	3	the stone creek	107	49	2	f	98, 104, 107, 146
3	1	3	and to the	116	96	1	M	39, 116, 134
3	3	3	the left-hand side	122	88	2	M	35, 85, 122
2	2	3	i'm going to	118	6	1	M	113, 118
2	2	3	i've got rapids	133	68	1	f	66, 133
2	2	3	not got anything	98	18	1	M	81, 98
2	2	3	of the rapids	88	4	1	M	85, 88
2	2	3	right okay so	70	36	1	M	35, 70
2	2	3	should be below	57	20	1	f	38, 57
2	2	3	stone creek and	104	8	1	M	97, 104
2	2	3	the gold mine	136	8	1	M	129, 136
2	2	3	the manned fort	113	16	1	f	98, 113
2	2	3	to go round	106	12	1	M	95, 106
2	2	3	well i've got	126	122	1	M	5, 126
2	2	3	where i am	50	48	1	M	3, 50
22	5	2	of the	25	135	1	M	13, 18, 23, 24, 25, 35, 42, 52, 59, 68, 82, 85, 87, 88, 107, 113, 116, 127, 135, 142, 146, 147
18	10	2	i've got	6	142	1	M	5, 6, 8, 32, 60, 62, 66, 70, 74, 76, 94, 100, 116, 118, 122, 126, 133, 146
18	6	2	to the	25	148	4	f	6, 16, 18, 24, 25, 39, 59, 67, 82, 85, 94, 116, 119, 127, 134, 146, 147, 153
11	11	2	and then	25	134	1	f	20, 25, 29, 75, 83, 87, 97, 113, 119, 127, 153
10	10	2	at the	31	123	1	f	10, 31, 35, 78, 82, 88, 98, 126, 130, 132
10	3	2	got a	65	118	1	M	5, 8, 65, 76, 92, 94, 100, 114, 116, 122
10	1	2	the left	106	115	2	M	39, 59, 82, 94, 106, 107, 119, 134, 146, 153
9	6	2	to go	106	107	5	M	23, 59, 67, 75, 95, 106, 113, 119, 129
8	6	2	right okay	35	134	1	f	26, 35, 38, 70, 88, 108, 137, 159
7	7	2	from the	13	163	1	f	0, 13, 66, 85, 86, 130, 162
7	2	2	the page	35	105	1	M	23, 24, 35, 42, 52, 110, 127
7	5	2	the rapids	72	32	1	M	67, 72, 76, 85, 88, 92, 98
7	4	2	the top	113	153	4	f	10, 42, 86, 88, 113, 127, 162
6	6	2	below it	131	112	5	f	20, 56, 94, 126, 130, 131
6	4	2	going to	59	104	1	f	16, 59, 75, 113, 118, 119
6	6	2	right so	75	103	1	f	50, 75, 88, 110, 119, 152
6	5	2	side of	42	98	1	M	35, 42, 85, 87, 106, 132
6	1	2	stone creek	98	82	2	M	65, 97, 98, 104, 107, 146
6	6	2	the rift	13	153	1	f	10, 13, 32, 35, 47, 162
5	5	2	go down	162	88	4	M	75, 83, 107, 113, 162
5	1	2	have you	147	116	4	f	32, 92, 98, 114, 147
5	3	2	manned fort	113	22	4	f	92, 94, 98, 100, 113
5	5	2	round the	106	53	2	M	83, 87, 106, 113, 135
5	3	2	should be	39	50	1	f	38, 39, 51, 57, 87
5	5	2	stone slabs	105	45	1	f	104, 105, 132, 134, 148
5	2	2	the left-hand	122	118	3	M	13, 35, 85, 122, 130
5	3	2	the stone	107	51	2	f	98, 104, 107, 146, 148
5	3	2	well i've	56	122	1	M	5, 56, 65, 95, 126
4	4	2	and the	115	51	2	f	98, 104, 115, 148
4	1	2	and to	148	110	1	M	39, 116, 134, 148
4	4	2	below that	97	87	1	f	62, 97, 144, 148
4	4	2	below the	92	74	1	M	57, 92, 98, 130
4	2	2	gold mine	129	23	2	f	114, 116, 129, 136
4	2	2	got anything	81	84	1	f	64, 81, 98, 147
4	1	2	left-hand side	129	95	2	M	35, 85, 122, 129
4	4	2	on the	59	81	1	f	42, 59, 107, 122
4	4	2	the bottom	98	113	2	M	23, 59, 98, 135
4	3	2	the rocks	60	24	1	M	59, 60, 66, 82
4	4	2	towards the	23	129	1	f	14, 23, 42, 142
4	4	2	you know	78	146	1	M	3, 78, 107, 148
4	2	2	you want	106	107	2	M	23, 67, 106, 129
3	3	2	a gold	115	3	1	f	114, 115, 116
3	3	2	above it	155	102	2	f	54, 154, 155
3	3	2	above the	76	108	1	M	31, 76, 138
3	3	2	an inch	18	8	1	M	13, 18, 20
3	1	2	be below	57	20	2	f	38, 56, 57
3	3	2	i mean	148	62	2	M	87, 91, 148
3	3	2	if you	130	101	1	M	35, 130, 135
3	3	2	just take	135	100	2	f	36, 42, 135
3	3	2	kind of	42	128	1	M	5, 42, 132
3	1	2	me to	67	81	1	f	26, 67, 106
3	3	2	no i've	99	40	2	f	60, 74, 99
3	1	2	not got	98	18	2	M	81, 95, 98
3	3	2	outlaws' hideout	97	55	1	f	62, 97, 116
3	3	2	right and	127	86	2	f	42, 54, 127
3	3	2	right down	122	78	1	M	67, 122, 144
3	3	2	right right	78	60	2	M	19, 21, 78
3	3	2	right up	101	92	2	f	10, 32, 101
3	3	2	the edge	25	119	1	f	24, 25, 142
3	1	2	the manned	99	16	1	f	98, 99, 113
3	3	2	the noose	138	32	1	M	115, 138, 146
3	3	2	the right-hand	85	93	1	f	14, 85, 106
3	3	2	up and	87	84	1	f	36, 87, 119
2	2	2	am i	82	6	1	M	77, 82
2	2	2	do you	106	104	1	M	3, 106
2	2	2	down to	67	48	1	f	20, 67
2	2	2	got that	95	2	1	f	94, 95
2	2	2	i go	153	70	1	f	84, 153
2	2	2	i'm at	82	52	1	M	31, 82
2	2	2	it yeah	158	120	1	M	39, 158
2	2	2	it's a	110	106	1	M	5, 110
2	2	2	just below	131	2	1	f	130, 131
2	2	2	oh right	96	88	1	M	9, 96
2	2	2	see what	91	2	1	f	90, 91
2	2	2	that so	95	58	1	f	38, 95
2	2	2	the start	78	22	1	M	57, 78
2	2	2	them and	148	48	1	M	101, 148
2	2	2	what i	164	74	1	M	91, 164
2	2	2	you've got	97	88	1	f	10, 97
69	18	1	the	17	163	3	f	0, 6, 10, 13, 14, 16, 17, 18, 23, 24, 25, 29, 31, 32, 35, 36, 38, 39, 42, 47, 52, 57, 59, 60, 66, 67, 68, 70, 72, 76, 77, 78, 82, 83, 85, 86, 87, 88, 92, 94, 98, 99, 100, 104, 106, 107, 110, 113, 115, 116, 118, 119, 122, 126, 127, 129, 130, 132, 134, 135, 136, 138, 142, 146, 147, 148, 153, 160, 162
62	36	1	right	9	162	2	f	0, 6, 9, 10, 18, 19, 21, 23, 24, 26, 29, 32, 35, 36, 38, 40, 42, 43, 50, 54, 55, 56, 59, 63, 65, 66, 67, 70, 75, 77, 78, 83, 85, 88, 96, 98, 100, 101, 103, 108, 109, 110, 111, 112, 113, 116, 119, 122, 123, 125, 127, 131, 135, 137, 144, 145, 147, 151, 152, 157, 159, 161
35	12	1	to	23	157	4	f	6, 16, 18, 20, 23, 24, 25, 26, 39, 42, 54, 56, 59, 67, 75, 82, 85, 94, 95, 101, 106, 107, 113, 116, 118, 119, 127, 129, 134, 146, 147, 148, 152, 153, 162
31	11	1	and	27	143	1	f	20, 25, 27, 29, 35, 36, 39, 42, 54, 62, 75, 76, 77, 83, 87, 97, 98, 101, 102, 104, 109, 113, 115, 116, 119, 127, 134, 146, 148, 153, 162
31	29	1	yeah	15	159	2	f	0, 2, 15, 20, 22, 25, 34, 36, 37, 39, 52, 53, 55, 57, 58, 67, 73, 77, 90, 98, 100, 105, 109, 111, 114, 124, 128, 131, 135, 149, 158
30	2	1	got	5	144	1	f	4, 5, 6, 8, 10, 32, 60, 62, 64, 65, 66, 70, 74, 76, 77, 81, 92, 94, 95, 97, 98, 100, 114, 116, 118, 122, 126, 133, 146, 147
30	5	1	of	35	156	2	M	5, 13, 18, 23, 24, 25, 35, 39, 42, 52, 59, 62, 68, 70, 82, 85, 87, 88, 100, 106, 107, 113, 116, 127, 132, 135, 142, 146, 147, 160
27	11	1	you	39	146	2	M	3, 23, 32, 35, 39, 51, 57, 67, 77, 78, 83, 87, 90, 91, 92, 95, 98, 106, 107, 109, 114, 127, 129, 130, 135, 147, 148
25	4	1	i've	42	148	1	M	5, 6, 8, 32, 42, 56, 60, 62, 65, 66, 70, 74, 76, 94, 95, 99, 100, 116, 118, 122, 126, 133, 144, 146, 152
24	14	1	a	6	156	1	M	5, 6, 8, 42, 52, 62, 65, 70, 76, 77, 92, 94, 100, 102, 110, 112, 114, 115, 116, 122, 134, 135, 138, 160
23	10	1	go	36	140	2	M	23, 35, 36, 44, 59, 67, 75, 77, 83, 84, 87, 95, 101, 106, 107, 113, 119, 127, 129, 144, 153, 154, 162
23	16	1	that	77	153	7	f	8, 16, 26, 32, 38, 62, 64, 77, 83, 94, 95, 97, 106, 107, 110, 112, 130, 132, 144, 146, 148, 152, 160
22	15	1	i	4	162	1	M	3, 4, 38, 42, 48, 50, 54, 56, 64, 70, 77, 82, 84, 87, 90, 91, 109, 115, 148, 153, 162, 164
21	11	1	so	17	139	1	f	16, 17, 35, 38, 50, 56, 70, 75, 83, 84, 88, 95, 107, 110, 115, 119, 135, 142, 147, 152, 154
19	12	1	it	35	143	1	f	20, 35, 36, 39, 42, 54, 56, 70, 86, 87, 94, 95, 126, 130, 131, 154, 155, 158, 162
18	12	1	down	13	163	1	f	2, 13, 20, 23, 54, 67, 75, 83, 87, 98, 99, 107, 113, 122, 130, 144, 162, 164
17	3	1	below	82	129	3	f	20, 38, 56, 57, 62, 82, 92, 94, 97, 98, 116, 126, 130, 131, 134, 144, 148
17	10	1	okay	35	140	4	f	24, 26, 28, 30, 35, 37, 38, 40, 61, 70, 77, 88, 108, 109, 137, 159, 163
13	8	1	up	25	110	1	f	10, 25, 27, 32, 35, 36, 38, 52, 75, 77, 87, 101, 119
12	7	1	well	59	160	1	M	5, 56, 59, 65, 70, 72, 83, 95, 101, 114, 126, 164
11	1	1	at	146	137	1	f	10, 31, 35, 78, 82, 88, 98, 126, 130, 132, 146
11	5	1	going	16	107	1	M	13, 16, 27, 59, 75, 82, 85, 107, 113, 118, 119
11	8	1	just	36	123	2	M	13, 31, 36, 42, 82, 87, 114, 116, 130, 131, 135
11	1	1	then	113	134	1	f	20, 25, 29, 75, 83, 87, 97, 113, 119, 127, 153
10	4	1	above	31	148	1	f	8, 31, 39, 54, 76, 82, 138, 148, 154, 155
10	7	1	not	38	128	1	M	5, 38, 46, 50, 59, 81, 95, 98, 99, 132
10	4	1	round	75	72	1	f	64, 75, 83, 86, 87, 95, 101, 106, 113, 135
10	3	1	side	35	131	1	f	10, 35, 42, 85, 87, 106, 122, 129, 132, 140
10	10	1	there	77	133	4	f	32, 38, 44, 54, 77, 84, 109, 114, 144, 164
9	9	1	but	56	142	1	M	5, 56, 59, 64, 77, 78, 126, 132, 146
9	9	1	er	31	121	1	f	26, 31, 66, 72, 94, 102, 122, 130, 146
9	2	1	from	84	165	1	f	0, 13, 66, 84, 85, 86, 130, 162, 164
9	9	1	like	115	111	4	f	52, 60, 76, 94, 115, 134, 142, 148, 162
9	5	1	on	59	123	4	f	18, 30, 42, 50, 59, 107, 122, 129, 140
9	1	1	top	113	153	6	f	10, 32, 42, 52, 86, 88, 113, 127, 162
8	2	1	be	72	81	1	f	38, 39, 51, 56, 57, 72, 87, 118
8	3	1	have	77	116	2	f	32, 42, 77, 92, 98, 114, 115, 147
8	6	1	i'm	31	111	1	f	16, 31, 38, 82, 88, 113, 118, 126
8	5	1	no	87	117	3	f	4, 60, 74, 87, 93, 99, 100, 120
8	8	1	that's	55	143	2	f	16, 50, 55, 111, 130, 138, 142, 158
7	1	1	left-hand	88	118	3	M	13, 35, 85, 88, 122, 129, 130
7	3	1	mine	115	119	3	f	18, 76, 114, 115, 116, 129, 136
7	5	1	oh	8	105	1	M	5, 8, 9, 77, 90, 96, 109
7	1	1	rift	13	155	2	f	8, 10, 13, 32, 35, 47, 162
7	2	1	should	56	111	1	f	38, 39, 51, 56, 57, 87, 148
6	6	1	about	64	90	3	M	13, 27, 51, 64, 66, 102
6	6	1	mm	4	138	1	M	1, 4, 50, 77, 109, 138
6	6	1	mmhmm	12	148	2	M	3, 7, 12, 126, 143, 150
6	3	1	right-hand	85	131	3	f	10, 14, 32, 85, 106, 140
6	3	1	take	83	120	3	f	16, 36, 42, 83, 130, 135
6	2	1	towards	52	129	1	f	14, 23, 42, 52, 110, 142
5	3	1	do	42	104	1	M	3, 42, 77, 84, 106
5	2	1	hideout	115	69	1	f	62, 97, 115, 116, 130
5	1	1	know	164	162	1	M	3, 78, 107, 148, 164
5	2	1	me	67	94	2	f	16, 26, 67, 106, 109
5	5	1	now	50	66	1	M	23, 50, 56, 77, 88
5	2	1	rocks	60	24	1	M	59, 60, 66, 68, 82
5	5	1	valley	47	155	3	f	8, 10, 32, 47, 162
5	2	1	what	134	75	1	f	90, 91, 134, 160, 164
4	1	1	an	97	85	1	M	13, 18, 20, 97
4	4	1	are	77	83	1	f	52, 77, 132, 134
4	4	1	back	75	32	1	f	56, 75, 78, 87
4	3	1	it's	5	109	1	f	2, 5, 98, 110
4	1	1	mean	90	62	1	M	87, 90, 91, 148
4	4	1	or	82	80	1	M	27, 82, 86, 106
4	2	1	start	57	79	2	f	0, 54, 57, 78
4	4	1	way	107	65	2	f	98, 106, 107, 162
4	3	1	where	50	85	1	M	3, 50, 84, 87
4	4	1	your	132	58	3	M	75, 83, 129, 132
3	3	1	all	118	70	1	M	77, 118, 146
3	3	1	between	115	18	2	f	98, 100, 115
3	3	1	ehm	16	15	1	M	9, 16, 23
3	3	1	is	87	67	1	f	70, 87, 136
3	3	1	straight	87	68	2	f	20, 42, 87
3	1	1	you've	81	88	1	f	10, 81, 97
2	2	1	line	135	98	1	f	38, 135
2	2	1	my	134	20	1	M	115, 134
2	1	1	them	148	48	1	M	101, 148
2	2	1	underneath	164	58	1	M	107, 164
2	2	1	wagon	5	2	1	f	4, 5

